"vertex" "tem.2" "sol.2" "tem.5" "sol.5" "tem.9" "sol.9"
10 0.0820009708404541 2 0.0478010177612305 5 0.0634000301361084 6
20 0.110200166702271 4 0.0956001281738281 6 0.172600030899048 12
30 0.109200000762939 5 0.204799890518188 7 0.394001007080078 16
40 0.202800035476685 5 0.269201040267944 10 0.633015155792236 20
50 0.236001014709473 6 0.430809020996094 11 0.908800840377808 24
60 0.334415912628174 7 0.534806966781616 13 1.23840308189392 29
70 0.452399969100952 8 0.707000970840454 16 1.6732029914856 33
80 0.505202054977417 8 0.865002155303955 16 2.03840494155884 37
90 0.596801042556763 9 1.14680194854736 19 2.63080501556396 39
100 0.712001800537109 10 1.3506031036377 20 3.16620707511902 47
110 0.799601078033447 10 1.53620386123657 21 3.40320706367493 47
120 0.943001985549927 11 1.74960398674011 23 4.00800800323486 50
130 0.989802122116089 12 1.94440412521362 25 4.87501096725464 56
140 1.17700290679932 13 2.37040686607361 27 5.66161203384399 62
150 1.27060198783875 13 2.60460519790649 27 6.27901291847229 64
160 1.53980302810669 14 2.84360694885254 27 6.78681397438049 65
170 1.53780317306519 13 3.53200697898865 31 7.92961597442627 69
180 1.80600380897522 15 3.50020790100098 32 8.77741813659668 74
190 1.97760415077209 16 3.75540804862976 32 9.54742002487183 75
200 2.07320404052734 17 4.08500909805298 33 10.6374208927155 80
210 2.32020592689514 16 4.55901002883911 35 11.3298227787018 83
220 2.46520495414734 17 5.02601099014282 35 13.142826795578 87
230 2.63680601119995 17 5.48181200027466 37 13.2972280979156 88
240 2.78860712051392 17 5.96081399917603 39 14.5036280155182 92
250 3.03580689430237 18 6.2724130153656 39 16.186233997345 94
260 3.36240696907043 19 6.7726149559021 41 17.3960349559784 103
270 3.21540713310242 19 7.11581492424011 42 18.2958359718323 99
280 3.46800899505615 19 7.59081697463989 43 19.5482401847839 104
290 3.63820695877075 20 8.19821715354919 44 20.6170408725739 108
300 3.8304078578949 20 8.83402109146118 48 21.2380418777466 106
310 4.08841013908386 22 9.9402220249176 49 23.8154489994049 116
320 4.27520895004272 22 9.32422089576721 48 25.0292501449585 116
330 4.64301109313965 22 10.2582228183746 49 27.3198549747467 125
340 4.79141092300415 22 10.8974230289459 50 27.7038550376892 124
350 4.96901202201843 23 12.3712267875671 54 30.3788619041443 126
360 5.51061105728149 23 12.387228012085 53 30.4582619667053 122
370 5.52521204948425 24 12.865031003952 54 32.6790661811829 132
380 5.63481187820435 25 13.8822360038757 56 34.2768731117249 133
390 5.92261290550232 25 14.4336290359497 58 36.3192729949951 136
400 6.25021409988403 25 14.4824290275574 57 37.8776819705963 138
410 6.5542140007019 26 15.5598311424255 59 40.47088098526 145
420 6.92501497268677 26 16.5032339096069 60 41.5042841434479 146
430 7.33761715888977 27 17.2342371940613 63 42.1150870323181 145
440 7.21341490745544 27 18.1808381080627 63 46.1422951221466 154
450 7.61841797828674 27 18.5996379852295 65 47.3568980693817 157
460 8.07121801376343 28 19.9910411834717 66 49.1822998523712 157
470 8.41701889038086 30 20.2938420772552 67 52.4225060939789 163
480 8.84421992301941 29 20.6418409347534 65 54.3873121738434 167
490 8.80901885032654 29 21.867644071579 68 58.062922000885 170
500 9.25441884994507 30 22.4010488986969 70 59.21396208362579 172
