"vertex" "tem.2" "sol.2" "tem.5" "sol.5" "tem.9" "sol.9"
10 0.0155999660491943 3 0.0312001705169678 5 0.0311999320983887 7
20 0.0634000301361084 5 0.095599889755249 8 0.138801097869873 12
30 0.0782029628753662 5 0.173600912094116 9 0.33060097694397 19
40 0.124800205230713 6 0.217801094055176 10 0.532413959503174 23
50 0.203800916671753 6 0.441409111022949 14 0.825603008270264 26
60 0.284800052642822 8 0.545207023620605 14 1.19360208511353 32
70 0.321414947509766 9 0.664201021194458 17 1.50200390815735 33
80 0.422200918197632 9 0.784002065658569 18 1.88340497016907 38
90 0.504201173782349 11 1.00640201568604 19 2.53960609436035 41
100 0.565001964569092 11 1.24080395698547 21 2.85320591926575 45
110 0.675801992416382 12 1.5106029510498 21 3.49680709838867 51
120 0.787000894546509 14 1.88800406455994 26 3.95020794868469 51
130 0.877602100372314 12 2.04400491714478 26 4.9878101348877 57
140 0.973201990127563 13 2.32380414009094 28 5.28661203384399 62
150 1.10400295257568 13 2.62460684776306 28 6.36141395568848 69
160 1.30380296707153 16 3.09160709381104 32 6.85361504554749 68
170 1.39740300178528 15 3.30200815200806 32 7.52201509475708 68
180 1.5528039932251 16 3.87140989303589 34 8.48341989517212 74
190 1.69580316543579 17 3.83280897140503 35 9.54682016372681 79
200 1.80540490150452 17 4.1458101272583 36 10.6136219501495 85
210 2.16880512237549 17 4.7120099067688 37 11.129823923111 84
220 1.98060393333435 18 4.96461009979248 38 12.0542271137238 86
230 2.26960802078247 19 5.42081379890442 41 14.0026299953461 94
240 2.35800504684448 19 5.88041305541992 42 14.5960299968719 99
250 2.61740803718567 20 6.33621406555176 42 15.9222359657288 99
260 2.70960688591003 19 7.11721706390381 44 17.6994400024414 106
270 2.95220708847046 20 7.1696150302887 44 17.7436368465424 105
280 3.18980693817139 21 7.77081894874573 46 19.8076419830322 111
290 3.49320793151855 22 8.23081803321838 46 21.4000480175018 115
300 3.74660992622375 23 8.87542009353638 48 22.0194499492645 113
310 3.868008852005 22 9.25662302970886 49 23.8460490703583 118
320 4.23881101608276 23 9.82982301712036 51 24.8320500850677 118
330 4.41961002349854 24 10.2938241958618 52 25.9172530174255 124
340 5.02381205558777 24 11.0068259239197 53 27.8278632164001 124
350 4.80341196060181 26 11.7370309829712 55 29.5446629524231 130
360 5.23261308670044 26 12.9680418968201 59 30.2362670898438 130
370 5.39001393318176 25 12.8120279312134 57 32.7160680294037 136
380 5.60961318016052 25 14.0380280017853 61 34.0298719406128 139
390 5.99001383781433 27 14.7110321521759 59 36.6354849338531 142
400 6.26081418991089 27 14.8200309276581 59 38.3134868144989 147
410 6.3438138961792 28 15.7630360126495 63 41.5924868583679 152
420 6.96421599388123 28 17.0360360145569 64 43.1016941070557 154
430 7.14741706848145 30 17.0188360214233 66 45.6249079704285 158
440 7.40001606941223 29 18.0038368701935 66 47.7950999736786 160
450 7.58661794662476 29 18.3544390201569 64 48.9155011177063 161
460 7.97942090034485 30 18.5954399108887 68 50.3975069522858 165
470 8.49782085418701 30 20.2898418903351 69 53.5461139678955 167
480 8.9090211391449 32 20.3094429969788 69 55.5543179512024 171
490 9.1608190536499 31 22.2578461170197 71 55.7539210319519 174
500 9.2356219291687 32 22.9998509883881 74 59.8393340110779 179
