"vertex" "tem.2" "sol.2" "tem.5" "sol.5" "tem.9" "sol.9"
10 0.113199949264526 3 0.0654008388519287 5 0.0468010902404785 6
20 0.0956001281738281 4 0.0859999656677246 7 0.127799987792969 13
30 0.125800848007202 5 0.141401052474976 9 0.157000064849854 17
40 0.203800201416016 5 0.1735999584198 11 0.208801031112671 22
50 0.259600877761841 8 0.236000061035156 14 0.283800840377808 28
60 0.289813995361328 8 0.292608022689819 15 0.305414199829102 29
70 0.328601121902466 8 0.312206983566284 16 0.357200860977173 32
80 0.361799955368042 9 0.362801074981689 20 0.408601045608521 40
90 0.425200939178467 11 0.407600879669189 21 0.488600969314575 42
100 0.469001054763794 10 0.452401161193848 21 0.532802104949951 50
110 0.521801948547363 12 0.501200914382935 22 0.565600872039795 51
120 0.564600944519043 13 0.549000978469849 25 0.630002021789551 55
130 0.610802173614502 14 0.598800897598267 26 0.673800945281982 55
140 0.644600868225098 14 0.645602226257324 25 0.718600988388062 59
150 0.707001924514771 13 0.672800779342651 28 0.801601886749268 63
160 0.757801055908203 15 0.719601154327393 30 0.833801984786987 71
170 0.815201997756958 16 0.771401882171631 31 0.878003120422363 76
180 0.819201946258545 16 0.816202163696289 34 0.911802053451538 75
190 0.895202159881592 16 0.861001014709473 34 0.97120189666748 79
200 0.930402040481567 17 0.899202823638916 35 1.03660202026367 81
210 0.988801956176758 17 0.946002006530762 39 1.08080291748047 87
220 1.01940298080444 18 1.0034019947052 40 1.16040182113647 92
230 1.06980299949646 18 1.05120205879211 41 1.19200396537781 92
240 1.38480305671692 19 1.06580209732056 40 1.22680187225342 98
250 1.08340191841125 21 1.11660313606262 43 1.28260397911072 100
260 1.13260293006897 20 1.17800188064575 43 1.33600306510925 103
270 1.1790030002594 21 1.22280311584473 43 1.36520218849182 105
280 1.22420310974121 22 1.28620195388794 45 1.44320297241211 113
290 1.26640486717224 22 1.31940293312073 46 1.47340297698975 109
300 1.31540203094482 22 1.3630051612854 48 1.75620412826538 117
310 1.35460305213928 22 1.41300296783447 52 1.57300400733948 116
320 1.39740300178528 24 1.4588029384613 53 1.62940311431885 120
330 1.4316029548645 25 1.48800301551819 52 1.67620301246643 123
340 1.48240303993225 25 1.55540299415588 53 1.74360394477844 125
350 1.5296049118042 24 1.60120296478271 53 1.78640389442444 133
360 1.57320618629456 25 1.63140392303467 56 1.83620405197144 132
370 1.63620495796204 26 1.71240401268005 58 1.88200306892395 139
380 1.67300486564636 25 1.73700380325317 57 1.9278039932251 137
390 1.71540403366089 28 1.81560301780701 61 1.98920392990112 139
400 1.75660395622253 27 1.85080409049988 58 2.03800511360168 146
410 1.8060040473938 28 2.11640501022339 63 2.07020401954651 148
420 1.84920501708984 29 1.9298038482666 63 2.21060490608215 157
430 1.88700413703918 29 2.00780487060547 65 2.19700407981873 153
440 1.9294068813324 29 2.00780391693115 65 2.44900608062744 158
450 1.97300505638123 31 2.10040402412415 67 2.30620408058167 166
460 2.04300403594971 31 2.12860417366028 68 2.39780497550964 166
470 2.05460500717163 30 2.17940497398376 69 2.40280508995056 164
480 2.12000417709351 32 2.24480509757996 69 2.48980498313904 170
490 2.36660480499268 32 2.29260396957397 73 2.52400588989258 176
500 2.17980480194092 32 2.33840394020081 73 2.55580496788025 174
